ref,is_in:district,description,operator,contact:phone,opening_hours,longitude,latitude,status,status:date,url,image
0894,士林,福順公園臺北市士林區延平北路5段136巷19弄27號對面後方(北側涼亭旁),工務局公園處士林園藝所,+886 2 2881 2512,24/7,121.511001,25.082521,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0894,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0894.JPG
0895,士林,福德綠地臺北市士林區重慶北路四段1巷21弄1號對面1號對面入口花圃旁,工務局公園處園藝工程隊,+886 2 2381 5132＃318,24/7,121.512008,25.079452,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0895,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0895.JPG
0896,士林,志成公園臺北市士林區中正路15號對面兒童遊戲區旁,工務局公園處士林園藝所,+886 2 2881 2512,24/7,121.530907,25.096533,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0896,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0896.JPG
0897,士林,仰德1號公園臺北市士林區仰德大道一段6巷5號斜對面休憩石座椅旁,工務局公園處士林園藝所,+886 2 2881 2512,24/7,121.537840,25.100092,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0897,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0897.JPG
0898,士林,華齡公園臺北市士林區劍潭路80號前入口左側,工務局公園處園藝工程隊,+886 2 2381 5132＃318,24/7,121.520573,25.082903,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0898,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0898.JPG
0899,士林,承德公園臺北市士林區士商路與大南路口涼亭旁,工務局公園處士林園藝所,+886 2 2881 2512,24/7,121.521631,25.089842,正常,20220119100000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0899,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0899.JPG
0926b,中山,新生公園臺北市中山區新生北路三段105號公園內,工務局公園處圓山管理所,+886 2 2585 0192轉232,24/7,121.532430,25.068788,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0926b,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0926b.JPG
0943,中山,大直站臺北市中山區北安路534之1號2號出口,臺北大眾捷運股份有限公司(棕線),+886 2 2536 3001#8653,Mo-Su 06:00-23:00,121.546831,25.079548,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0943,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0943.JPG
0946a,中山,松江南京站臺北市中山區松江路126號2號出口,臺北大眾捷運股份有限公司(藍橘線),+886 2 2536 3001#8653,Mo-Su 06:00-23:00,121.532918,25.051352,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0946a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0946a.JPG
0946b,中山,松江南京站臺北市中山區松江路126號2號出口,臺北大眾捷運股份有限公司(藍橘線),+886 2 2536 3001#8653,Mo-Su 06:00-23:00,121.532918,25.051352,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0946b,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0946b.JPG
0947a,中山,行天宮站臺北市中山區松江路316號3號出口,臺北大眾捷運股份有限公司(藍橘線),+886 2 2536 3001#8653,Mo-Su 06:00-23:00,121.533192,25.059975,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0947a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0947a.JPG
0947b,中山,行天宮站臺北市中山區松江路316號3號出口,臺北大眾捷運股份有限公司(藍橘線),+886 2 2536 3001#8653,Mo-Su 06:00-23:00,121.533192,25.059975,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0947b,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0947b.JPG
0948a,中山,中山國小站臺北市中山區民權東路1段71號4號出口,臺北大眾捷運股份有限公司(藍橘線),+886 2 2536 3001#8653,Mo-Su 06:00-23:00,121.526682,25.062701,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0948a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0948a.JPG
0948b,中山,中山國小站臺北市中山區民權東路1段71號4號出口,臺北大眾捷運股份有限公司(藍橘線),+886 2 2536 3001#8653,Mo-Su 06:00-23:00,121.526682,25.062701,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0948b,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0948b.JPG
0961g,中山,新生公園臺北市中山區新生北路三段105號公園管理處對面,工務局公園處圓山管理所,+886 2 2585 0192轉232,24/7,121.529620,25.070260,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0961g,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0961g.JPG
0966a,中山,大佳河濱公園臺北市中山區大佳河濱公園,工務局水利工程處東區左岸管理站,+886 2 2720 8889#2690,24/7,121.530230,25.074870,正常,20231129100000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0966a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0966a.JPG
0966b,中山,大佳河濱公園臺北市中山區大佳河濱公園,工務局水利工程處東區左岸管理站,+886 2 2720 8889#2690,24/7,121.532143,25.074392,正常,20231129100000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0966b,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0966b.JPG
0966d,中山,大佳河濱公園臺北市中山區大佳河濱公園,工務局水利工程處東區左岸管理站,+886 2 2720 8889#2690,24/7,121.535579,25.074618,正常,20231129100000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0966d,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0966d.JPG
0966e,中山,大佳河濱公園臺北市中山區大佳河濱公園,工務局水利工程處東區左岸管理站,+886 2 2720 8889#2690,24/7,121.536950,25.075560,正常,20231129100000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0966e,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0966e.JPG
0966f,中山,大佳河濱公園臺北市中山區大佳河濱公園,工務局水利工程處東區左岸管理站,+886 2 2720 8889#2690,24/7,121.537790,25.074110,正常,20231129100000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0966f,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0966f.JPG
0966g,中山,大佳河濱公園臺北市中山區大佳河濱公園,工務局水利工程處東區左岸管理站,+886 2 2720 8889#2690,24/7,121.538640,25.073700,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0966g,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0966g.JPG
0966h,中山,大佳河濱公園臺北市中山區大佳河濱公園,工務局水利工程處東區左岸管理站,+886 2 2720 8889#2690,24/7,121.539313,25.074648,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0966h,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0966h.JPG
0966i,中山,大佳河濱公園臺北市中山區濱江街107號大佳國小後方兒童遊戲場入口旁,工務局水利工程處東區左岸管理站,+886 2 2720 8889#2690,24/7,121.535284,25.074576,正常,20231129100000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0966i,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0966i.JPG
0966j,中山,大佳河濱公園臺北市中山區大佳河濱公園(網球場旁)大佳河濱公園網球場旁,工務局水利工程處東區左岸管理站,+886 2 2720 8889#2690,24/7,121.531644,25.074556,正常,20231129100000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0966j,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0966j.JPG
0969a,中山,松江南京站臺北市中山區松江路126號4、5、6、7號出口中間,臺北大眾捷運股份有限公司(紅綠線),+886 2 2536 3001#8653,Mo-Su 06:00-23:00,121.533256,25.052130,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0969a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0969a.JPG
0969b,中山,松江南京站臺北市中山區松江路126號4、5、6、7號出口中間,臺北大眾捷運股份有限公司(紅綠線),+886 2 2536 3001#8653,Mo-Su 06:00-23:00,121.533256,25.052130,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0969b,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0969b.JPG
0971,大同,臺北當代藝術館臺北市大同區長安西路39號入口,北區營業分處,+886 2 2100 4108,24/7,121.518721,25.050625,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0971,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0971.JPG
0972a,中山,榮星花園臺北市中山區民權東路三段1號(民權東路建國北路)遊戲場旁,工務局公園處圓山管理所,+886 2 2585 0192轉232,24/7,121.538410,25.063960,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0972a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0972a.JPG
0972b,中山,榮星花園臺北市中山區民權東路三段1號(民權東路建國北路)籃球場旁,工務局公園處圓山管理所,+886 2 2585 0192轉232,24/7,121.539165,25.063579,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0972b,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0972b.JPG
0972c,中山,榮星花園臺北市中山區民權東路三段1號(民權東路建國北路)榮星公園西南隅,工務局公園處圓山管理所,+886 2 2585 0192轉232,24/7,121.537306,25.062778,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0972c,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0972c.JPG
0973a,中山,林森公園臺北市中山區新生北路2段28巷5號步道,工務局公園處圓山管理所,+886 2 2585 0192轉232,24/7,121.526490,25.053790,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0973a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0973a.JPG
0973b,中山,林森公園臺北市中山區南京東路1段88號(林森公園)共融式遊戲區,工務局公園處圓山管理所,+886 2 2585 0192轉232,24/7,121.526418,25.052996,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0973b,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0973b.JPG
0973c,中山,林森公園臺北市中山區南京東路1段與新生北路2段口籃球場旁,工務局公園處圓山管理所,+886 2 2585 0192轉232,24/7,121.526704,25.052634,正常,20221216000000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0973c,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0973c.JPG
0974,中正,新生高架籃球場臺北市中正區金山北路與八德路一段口附近籃球場旁,北水處東區分處,+886 2 8770 3360,24/7,121.530377,25.044894,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0974,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0974.JPG
0975,中山,中山市場臺北市中山區長安西路3號大門,北區營業分處,+886 2 2100 4108,24/7,121.521010,25.050070,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0975,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0975.JPG
0976,中山,花博公園臺北市中山區中山北路三段爭艷館前,北水處北區營業分處,+886 2 2100 4121,24/7,121.521470,25.070670,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0976,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0976.JPG
0976a,中山,花博公園臺北市中山區中山北路三段花牆前,北水處北區營業分處,+886 2 2100 4121,24/7,121.520500,25.070350,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0976a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0976a.JPG
0976b,中山,花博公園臺北市中山區中山北路三段MAJI前廣場,北水處北區營業分處,+886 2 2100 4121,24/7,121.522030,25.070690,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0976b,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0976b.JPG
0977a,中山,華山公園(林森北路以西)臺北市中山區市民大道2段與天津街西北側籃球場旁,工務局公園處圓山管理所,+886 2 2585 0192轉232,24/7,121.521890,25.048330,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0977a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0977a.JPG
0977b,中山,華山公園(林森北路以東)臺北市中山區林森北路與市民大道2段口東北側籃球場旁,工務局公園處圓山管理所,+886 2 2585 0192轉232,24/7,121.524720,25.048090,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0977b,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0977b.JPG
0979,中山,八二三砲戰紀念公園臺北市中山區北安路口圓山飯店下方砲台旁,工務局公園處圓山管理所,+886 2 2585 0192轉232,024/7,121.527272,25.076828,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0979,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0979.JPG
0980,中山,下埤公園臺北市中山區民族東路512巷26號對面台北市中山區民族東路512巷26號對面,工務局公園處圓山管理所,+886 2 2585 0192轉232,24/7,121.542140,25.066890,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0980,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0980.JPG
0981,中山,江寧公園臺北市中山區合江街137號對面步道,工務局公園處圓山管理所,+886 2 2585 0192轉232,24/7,121.539430,25.061360,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0981,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0981.JPG
0982,中山,永直公園臺北市中山區北安路588巷23弄5號對面花圃內,工務局公園處圓山管理所,+886 2 2585 0192轉232,24/7,121.550789,25.081331,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0982,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0982.JPG
0983,中山,培英公園臺北市中山區大直街52巷26號旁步道,工務局公園處圓山管理所,+886 2 2585 0192轉232,24/7,121.545180,25.082370,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0983,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0983.JPG
0984,中山,四平公園臺北市中山區伊通街97-2號對面花圃內,工務局公園處圓山管理所,+886 2 2585 0192轉232,24/7,121.534636,25.053126,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0984,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0984.JPG
0985,中山,中吉公園臺北市中山區松江路184巷27號花圃內,工務局公園處圓山管理所,+886 2 2585 0192轉232,24/7,121.531870,25.056380,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0985,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0985.JPG
0986,中山,一江公園臺北市中山區吉林路51巷20號對面花圃內,工務局公園處圓山管理所,+886 2 2585 0192轉232,24/7,121.531308,25.053317,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0986,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0986.JPG
0987a,中山,松錦2號公園臺北市中山區民生東路2段127巷23號花圃內,工務局公園處圓山管理所,+886 2 2585 0192轉232,24/7,121.532450,25.060220,暫停,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0987a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0987a.JPG
0989,中山,德惠公園臺北市中山區吉林路461巷內公園南側入口處,工務局公園處圓山管理所,+886 2 2585 0192轉232,24/7,121.531511,25.067409,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0989,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0989.JPG
0990,中山區,蒲公英希望基地台北市中山區中山北路1段112巷5號旁人行道出入口,蒲公英希望基金會,+886 2 2523 4360,24/7,121.521100,25.050600,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0990,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0990.JPG
0991,中山,朱昌公園臺北市中山區合江街27號對面入口人行道旁,工務局公園處圓山管理所,+886 2 2585 0192轉232,24/7,121.539066,25.055330,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0991,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0991.JPG
0992,中山,興安公園臺北市中山區興安街53-5號對面入口步道旁,工務局公園處圓山管理所,+886 2 2585 0192轉232,24/7,121.541809,25.056045,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0992,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0992.JPG
0995,中山,康樂公園臺北市中山區中山北路二段27巷17號對面入口休憩座椅旁,工務局公園處圓山管理所,+886 2 2585 0192轉232,24/7,121.524648,25.053541,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0995,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0995.JPG
0996,中山,上塔悠公園臺北市中山區樂群二路116巷61弄8號旁公園入口旁/自行車道旁,工務局公園處圓山管理所,+886 2 2585 0192轉232,24/7,121.555380,25.077550,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0996,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0996.JPG
0997,中山,下塔悠公園臺北市中山區樂群二路266巷112號旁公園入口旁/自行車道旁,工務局公園處圓山管理所,+886 2 2585 0192轉232,24/7,121.561813,25.076592,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0997,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0997.JPG
0998,中山,金泰公園臺北市中山區堤頂大道二段246巷3-9號旁入口步道旁,工務局公園處圓山管理所,+886 2 2585 0192轉232,24/7,121.566344,25.076997,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0998,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0998.JPG
0999,中山,撫順公園臺北市中山區中山北路3段22號前廣場旁,工務局公園處圓山管理所,+886 2 2585 0192轉232,24/7,121.522065,25.064571,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=0999,https://gismobile.water.gov.taipei/WaterMap_drinkImg/0999.JPG
1026,文山,景華公園臺北市文山區景華街42號對面3號入口處,工務局公園處南港管理所,+886 2 2783 3685,24/7,121.543100,24.995231,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1026,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1026.JPG
1026a,文山,景華公園臺北市文山區景華街58號對面地下停車場電梯出口旁,工務局公園處南港管理所,+886 2 2783 3685,24/7,121.544257,24.995234,正常,20221206000000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1026a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1026a.JPG
1027,文山,興隆公園臺北市文山區興隆路2段220巷瓦斯行側面,工務局公園處南港管理所,+886 2 2783 3685,24/7,121.551274,25.000656,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1027,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1027.JPG
1062,文山,貓空纜車動物園站臺北市文山區新光路2段8號2號出口,臺北大眾捷運股份有限公司(棕線),+886 2 2536 3001#8653,Mo-Su 06:00-23:00,121.576164,24.996052,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1062,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1062.JPG
1062a,文山,貓空纜車動物園站臺北市文山區新光路2段32號入口處,臺北大眾捷運股份有限公司(棕線),+886 2 2536 3001#8653,Mo-Su 06:00-23:00,121.576164,24.996052,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1062a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1062a.JPG
1068,文山,景美運動公園臺北市文山區景豐街79號圓環休息區旁,工務局公園處南港管理所,+886 2 2783 3685,24/7,121.544136,25.002735,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1068,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1068.JPG
1068a,文山,景美運動公園臺北市文山區景豐街80號入口處,工務局公園處南港管理所,+886 2 2783 3685,24/7,121.544468,25.002153,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1068a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1068a.JPG
1069,文山,萬芳7號公園臺北市文山區萬美街1段36號旁萬美街1段17號對面,工務局公園處南港管理所,+886 2 2783 3685,24/7,121.569879,25.002434,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1069,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1069.JPG
1070,文山,臺北市立動物園臺北市文山區新光路二段30號入口,臺北市立動物園機電室,+886 2 2938 2300轉830,24/7,121.580700,24.998590,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1070,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1070.JPG
1071,文山,景行公園臺北市文山區景後街83號對面涼亭前,工務局公園處南港管理所,+886 2 2783 3685,24/7,121.542717,24.992556,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1071,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1071.JPG
1072a,文山,臺北市立動物園旁保育公園臺北市文山區新光路二段30號人行道入園轉角,臺北市立動物園機電室,+886 2 2938 2300轉830,24/7,121.576583,24.996400,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1072a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1072a.JPG
1072b,文山,臺北市立動物園旁保育公園臺北市文山區新光路二段30號人行道入園轉角,臺北市立動物園機電室,+886 2 2938 2300轉830,24/7,121.578113,24.997304,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1072b,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1072b.JPG
1073a,文山,木柵公園臺北市文山區興隆路4段50號入口處,工務局公園處南港管理所,+886 2 2783 3685,24/7,121.560602,24.986691,正常,20231110100000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1073a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1073a.JPG
1073b,文山,木柵公園臺北市文山區興隆路4段50號生態池入口,工務局公園處南港管理所,+886 2 2783 3685,24/7,121.559884,24.986606,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1073b,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1073b.JPG
1074,文山,萬芳4號公園臺北市文山區萬和街萬芳國小正對面遊戲場旁,工務局公園處南港管理所,+886 2 2783 3685,24/7,121.568338,25.001053,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1074,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1074.JPG
1075,文山,仙跡岩風景區牌樓入口臺北市文山區景興路239號旁出入口旁,工務局公園處南港管理所,+886 2 2783 3685,24/7,121.543543,24.991014,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1075,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1075.JPG
1076,文山,萬芳6號公園臺北市文山區萬芳路與萬和街交口(萬芳國小對面)入口處旁,工務局公園處南港管理所,+886 2 2783 3685,24/7,121.569160,24.999474,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1076,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1076.JPG
1078,文山,文山景美49號公園臺北市文山區景華街128巷3弄口步道旁,工務局公園處南港管理所,+886 2 2783 3685,024/7,121.548032,24.995732,暫停,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1078,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1078.JPG
1079,文山,萬盛公園臺北市文山區萬盛街130巷18-1號對面遊戲區旁,工務局公園處南港管理所,+886 2 2783 3685,024/7,121.541200,25.004943,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1079,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1079.JPG
1080,文山,萬和1號公園臺北市文山區萬隆街49號對面入口處旁,工務局公園處南港管理所,+886 2 2783 3685,24/7,121.536357,25.000850,暫停,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1080,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1080.JPG
1081,文山,萬和2號公園臺北市文山區汀州路4段255號對面遊戲區旁,工務局公園處南港管理所,+886 2 2783 3685,24/7,121.536469,25.001516,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1081,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1081.JPG
1082,文山,萬和3號公園臺北市文山區羅斯福路5段218巷38弄12號對面籃球場旁,工務局公園處南港管理所,+886 2 2783 3685,024/7,121.536669,25.003027,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1082,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1082.JPG
1083,文山,萬年1號公園臺北市文山區汀洲路4段144號對面遊戲區旁,工務局公園處南港管理所,+886 2 2783 3685,24/7,121.536018,25.004891,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1083,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1083.JPG
1084,文山,萬年2號公園臺北市文山區汀州路4段122號對面遊戲區旁,工務局公園處南港管理所,+886 2 2783 3685,024/7,121.536274,25.005532,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1084,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1084.JPG
1085,文山,萬年3號公園臺北市文山區汀州路4段99號前遊戲區旁,工務局公園處南港管理所,+886 2 2783 3685,024/7,121.536954,25.007056,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1085,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1085.JPG
1088,文山,景豐公園臺北市文山區興隆路1段251巷3弄7號對面運動場旁,工務局公園處南港管理所,+886 2 2783 3685,24/7,121.545003,25.000114,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1088,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1088.JPG
1089,文山,木新公園臺北市文山區木新路3段278巷內遊戲區旁,工務局公園處南港管理所,+886 2 2783 3685,24/7,121.558107,24.982301,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1089,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1089.JPG
1090,文山,樟樹公園臺北市文山區忠順街1段26巷26弄2號對面遊戲區旁,工務局公園處南港管理所,+886 2 2783 3685,24/7,121.559363,24.982721,暫停,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1090,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1090.JPG
1091,文山,樟興公園臺北市文山區辛亥路7段與木新路3段交口遊戲區旁,工務局公園處南港管理所,+886 2 2783 3685,24/7,121.553925,24.980829,正常,20211201090000,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1091,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1091.JPG
1092,文山,萬有1號公園臺北市文山區興隆路1段202巷口遊戲區旁,工務局公園處南港管理所,+886 2 2783 3685,24/7,121.543058,25.000085,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1092,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1092.JPG
1093,文山,萬有2號公園臺北市文山區興隆路1段184巷4弄6號對面遊戲區旁,工務局公園處南港管理所,+886 2 2783 3685,24/7,121.541990,25.000739,正常,20250107000001,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1093,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1093.JPG
